T1 = 171, T2 = 172, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 4.691222283305846
T1 = 172, T2 = 173, optimal x = VectorD(8.22222,	-7.77778,	1.72222,	1.55556,	3.22222,	4.22222), y = 3.8831714375992257
T1 = 173, T2 = 174, optimal x = VectorD(8.50000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.00000), y = 1.6845251848428837
T1 = 174, T2 = 175, optimal x = VectorD(8.07813,	-7.92188,	1.57813,	2.07813,	3.07813,	4.07813), y = 3.4998255455057836
T1 = 175, T2 = 176, optimal x = VectorD(8.12500,	-7.87500,	1.62500,	2.12500,	3.12500,	4.12500), y = 3.4057984859710664
T1 = 176, T2 = 177, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 3.017945896031972
T1 = 177, T2 = 178, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 2.7695505432711487
T1 = 178, T2 = 179, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 5.673579265506554
T1 = 179, T2 = 180, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 6.984765737280828
T1 = 180, T2 = 181, optimal x = VectorD(8.50000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.00000), y = 7.295902734691409
T1 = 181, T2 = 182, optimal x = VectorD(7.55556,	-7.77778,	1.72222,	2.22222,	3.22222,	4.22222), y = 7.819020485321303
T1 = 182, T2 = 183, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 3.9761970030252494
T1 = 183, T2 = 184, optimal x = VectorD(8.07292,	-7.92708,	1.57292,	2.07292,	3.07292,	4.07292), y = 3.6522431606291486
T1 = 184, T2 = 185, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 6.610430712239118
T1 = 185, T2 = 186, optimal x = VectorD(8.01293,	-7.99886,	1.99559,	2.01174,	2.97889,	4.01514), y = 16.054518972408232
T1 = 186, T2 = 187, optimal x = VectorD(8.08333,	-7.91667,	1.58333,	2.08333,	3.08333,	4.33333), y = 1.7438270617911278
T1 = 187, T2 = 188, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 13.679645161554795
T1 = 188, T2 = 189, optimal x = VectorD(8.04167,	-7.95833,	1.54167,	2.04167,	3.04167,	4.04167), y = 1.624286894470139
T1 = 189, T2 = 190, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 5.218665595693215
T1 = 190, T2 = 191, optimal x = VectorD(8.04711,	-7.76251,	1.69925,	2.14557,	3.03822,	4.16930), y = 1.497468283740098
T1 = 191, T2 = 192, optimal x = VectorD(8.25000,	-7.75000,	0.500000,	2.25000,	3.25000,	4.25000), y = 6.5563419251492645
T1 = 192, T2 = 193, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 3.2555960785625855
T1 = 193, T2 = 194, optimal x = VectorD(8.12500,	-7.87500,	1.25000,	2.12500,	3.12500,	4.12500), y = 5.975799089850714
T1 = 194, T2 = 195, optimal x = VectorD(8.08268,	-7.91732,	1.58268,	2.08268,	3.08268,	4.08268), y = 6.662071467440594
T1 = 195, T2 = 196, optimal x = VectorD(8.16667,	-7.83333,	1.00000,	2.16667,	3.16667,	4.16667), y = 1.9850022055580063
T1 = 196, T2 = 197, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 6.339310440159583
T1 = 197, T2 = 198, optimal x = VectorD(8.03906,	-7.96094,	1.51563,	2.03906,	3.03906,	4.28906), y = 9.237899666322406
T1 = 198, T2 = 199, optimal x = VectorD(8.02214,	-7.73307,	1.55859,	2.05859,	3.05859,	4.05859), y = 3.7071322399198188
T1 = 199, T2 = 200, optimal x = VectorD(8.12500,	-7.87500,	1.25000,	2.12500,	3.12500,	4.12500), y = 10.63714965338818
T1 = 200, T2 = 201, optimal x = VectorD(8.10417,	-7.89583,	1.60417,	2.10417,	3.10417,	4.10417), y = 7.659625975912364
T1 = 201, T2 = 202, optimal x = VectorD(7.91157,	-7.92736,	1.79842,	2.25436,	3.18752,	3.76391), y = 5.4052784491120764
T1 = 202, T2 = 203, optimal x = VectorD(8.08268,	-7.91732,	1.58268,	2.08268,	3.08268,	4.08268), y = 5.595522537744923
T1 = 203, T2 = 204, optimal x = VectorD(8.12500,	-7.87500,	1.25000,	2.12500,	3.12500,	4.12500), y = 3.429169802001585
T1 = 204, T2 = 205, optimal x = VectorD(8.01172,	-7.98828,	1.49219,	2.01172,	3.01172,	4.44922), y = 5.932625290408231
T1 = 205, T2 = 206, optimal x = VectorD(8.07813,	-7.92188,	1.57813,	2.07813,	3.07813,	4.07813), y = 9.452143638714812
T1 = 206, T2 = 207, optimal x = VectorD(8.12500,	-7.87500,	1.25000,	2.12500,	3.12500,	4.12500), y = 0.5642987734465571
T1 = 207, T2 = 208, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 2.6122312338753133
T1 = 208, T2 = 209, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 2.7494047843996827
T1 = 209, T2 = 210, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 5.2227022309032884
T1 = 210, T2 = 211, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 0.8722062697966312
T1 = 211, T2 = 212, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 9.495188131883403
T1 = 212, T2 = 213, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 5.4938303925161875
T1 = 213, T2 = 214, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 1.9722099028336222
T1 = 214, T2 = 215, optimal x = VectorD(7.96195,	-8.08492,	1.81708,	2.18745,	3.07403,	4.17125), y = 9.373857585990972
T1 = 215, T2 = 216, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 6.534735106163678
