Transport.rb1.43 	 moves for 2959.9177633412182 	 Bus.b.55 	 at time 2936.4281904883683.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2936.4281904883683.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 2964.7024424746623.
WaitQueue.qS.20 	 wait begins 	 Bus.b.56 	 at time 2964.7024424746623.
Bus.b.56 	 resumes 	 Bus.b.54 	 at time 2998.419267032295.
Junction.jN2S.13 	 jumps for 980.2735724486411 	 Bus.b.54 	 at time 2998.419267032295.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2998.419267032295.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 3092.21333592738.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 3092.21333592738.
Bus.b.55 	 resumes 	 Bus.b.55 	 at time 3247.9984813663914.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 3247.9984813663914.
Bus.b.55 	 resumes 	 Bus.b.55 	 at time 3403.783626805403.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 3403.783626805403.
Bus.b.55 	 resumes 	 Bus.b.55 	 at time 3559.5687722444145.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 3559.5687722444145.
Bus.b.55 	 resumes 	 Bus.b.55 	 at time 3715.353917683426.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 3715.353917683426.
Bus.b.55 	 resumes 	 Bus.b.55 	 at time 3871.1390631224376.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 3871.1390631224376.
Bus.b.55 	 resumes 	 Bus.b.54 	 at time 3978.692839480936.
Transport.rb0.37 	 moves for 3057.1276207454503 	 Bus.b.54 	 at time 3978.692839480936.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 3978.692839480936.
Bus.b.54 	 resumes 	 Bus.b.53 	 at time 4013.552008848637.
Transport.rb3.50 	 moves for 3065.5896151438355 	 Bus.b.53 	 at time 4013.552008848637.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 4013.552008848637.
Bus.b.53 	 resumes 	 Bus.b.55 	 at time 4026.924208561449.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 4026.924208561449.
Bus.b.55 	 resumes 	 Bus.b.54 	 at time 4169.763315777527.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 4169.763315777527.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 4182.709354000461.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 4182.709354000461.
Bus.b.55 	 resumes 	 Bus.b.53 	 at time 4205.151359795127.
