Sheet,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
A,International Conference on Advanced Information Systems Engineering,CaiSE,ICORE2026,A,none,view,4605,2.0,4.5
A,International Conference on Artificial Intelligence and Statistics,AISTATS,ICORE2026,A,none,view,4611,8.0,5.0
A,International Conference on Artificial Intelligence in Education,AIED,ICORE2026,A,none,view,4601,0.0,N/A
A,International Conference on Automated Deduction,CADE,ICORE2026,A,none,view,4602,0.0,N/A
A,International Conference on Conceptual Modelling,ER,ICORE2026,A,none,view,4605,0.0,N/A
A,International Conference on Database Theory,ICDT,ICORE2026,A,none,view,4605,0.0,N/A
A,International Conference on Distributed Computing Systems,ICDCS,ICORE2026,A,none,view,4606,4.0,5.0
A,International Conference on Evaluation and Assessment in Software Engineering,EASE,ICORE2026,A,none,view,4612,31.0,5.0
A,International Conference on Functional Programming,ICFP,ICORE2026,A,none,view,4612,0.0,N/A
A,International Conference on Intelligent User Interfaces,IUI,ICORE2026,A,none,view,4608,0.0,N/A
A,International Conference on Learning Analytics and Knowledge,LAK,ICORE2026,A,none,view,4608,2.0,5.0
A,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,ICORE2026,A,none,view,4612,7.0,5.0
A,International Conference on Principles and Practice of Constraint Programming,CP,ICORE2026,A,none,view,4602,0.0,N/A
A,International Conference on Service Oriented Computing,ICSOC,ICORE2026,A,none,view,4606,1.0,4.0
A,International Conference on Software Architecture (was previously WICSA),ICSA,ICORE2026,A,none,view,4612,11.0,4.9
A,"International Conference on Software Testing, Verification and Validation",ICST,ICORE2026,A,none,view,4612,5.0,4.8
A,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,ICORE2026,A,none,view,4604,0.0,N/A
A,International Conference on Theory and Applications of Satisfiability Testing,SAT,ICORE2026,A,none,view,4602,2.0,5.0
A,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,ICORE2026,A,none,view,4608,4.0,5.0
A,International Conference on Web and Social Media,ICWSM,ICORE2026,A,none,view,4601,4.0,4.0
A,International Joint Conference on Automated Reasoning,IJCAR,ICORE2026,A,none,view,4602,0.0,N/A
A,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,ICORE2026,A,none,view,4602,2.0,5.0
A,International Semantic Web Conference,ISWC,ICORE2026,A,none,view,4605,5.0,4.6
A,International Symposium on Code Generation and Optimization,CGO,ICORE2026,A,none,view,4612,0.0,N/A
A,International Symposium on Distributed Computing (was WDAG),DISC,ICORE2026,A,none,view,4606,0.0,N/A
A,International Symposium on Empirical Software Engineering and Measurement,ESEM,ICORE2026,A,none,view,4612,1.0,5.0
A,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,ICORE2026,A,none,view,4612,2.0,2.0
A,International Symposium on Software Reliability Engineering,ISSRE,ICORE2026,A,none,view,4612,1.0,5.0
A,International Symposium on Software Testing and Analysis,ISSTA,ICORE2026,A,none,view,4612,0.0,N/A
A,International Symposium on Theoretical Aspects of Computer Science,STACS,ICORE2026,A,none,view,4613,2.0,4.0
A,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,ICORE2026,A,none,view,4613,0.0,N/A
A,Internet Measurement Conference,IMC,ICORE2026,A,none,view,4606,1.0,5.0
A,Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,ICORE2026,A,none,view,4602,0.0,N/A
A,Medical Image Computing and Computer-Assisted Intervention,MICCAI,ICORE2026,A,none,view,4601,0.0,N/A
A,North American Association for Computational Linguistics,NAACL,ICORE2026,A,none,view,4602,2.0,5.0
A,Parallel Problem Solving from Nature,PPSN,ICORE2026,A,none,view,4611,1.0,5.0
A,Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,ICORE2026,A,none,view,4604,2.0,5.0
A,Real Time Systems Symposium,RTSS,ICORE2026,A,none,view,4606,0.0,N/A
A,SIAM International Conference on Data Mining,SDM,ICORE2026,A,none,view,4605,3.0,5.0
A,Symposium On Usable Privacy and Security,SOUPS,ICORE2026,A,none,view,4608,2.0,5.0
A,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,ICORE2026,A,none,view,4604,0.0,N/A
A,Tools and Algorithms for Construction and Analysis of Systems,TACAS,ICORE2026,A,none,view,4612,1.0,5.0
A,Usenix Annual Technical Conference,USENIX,ICORE2026,A,none,view,4606,0.0,N/A
A,USENIX Workshop on Hot Topics in Operating Systems,HotOS,ICORE2026,A,none,view,4606,1.0,N/A
A,Workshop on Algorithm Engineering and Experiments,ALENEX,ICORE2026,A,See note,view,4613,1.0,N/A
A,Workshop on Cryptographic Hardware and Embedded Systems,CHES,ICORE2026,A,none,view,4604,6.0,5.0
B,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,ICORE2026,B,none,view,4608,0.0,N/A
B,ACM Conference on Learning @ Scale,L@S,ICORE2026,B,none,view,4601,0.0,N/A
B,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,ICORE2026,B,none,view,4604,0.0,N/A
